time,gFx,gFy,gFz,TgF
0.005000,0.0081,0.9990,0.0144,0.999
0.006000,0.0078,0.9997,0.0127,1.000
0.007000,0.0073,1.0012,0.0122,1.001
0.008000,0.0081,1.0017,0.0120,1.002
0.009000,0.0056,1.0024,0.0120,1.003
0.010000,0.0071,1.0014,0.0149,1.002
0.011000,0.0054,1.0000,0.0176,1.000
0.012000,0.0059,0.9995,0.0193,1.000
0.013000,0.0059,1.0022,0.0227,1.002
0.014000,0.0059,1.0022,0.0227,1.002
0.015000,0.0051,1.0005,0.0247,1.001
0.016000,0.0054,1.0000,0.0249,1.000
0.016000,0.0049,1.0005,0.0247,1.001
0.018000,0.0046,1.0005,0.0222,1.001
0.019000,0.0046,1.0010,0.0217,1.001
0.019000,0.0054,1.0005,0.0178,1.001
0.020000,0.0049,1.0007,0.0188,1.001
0.020000,0.0051,0.9992,0.0173,0.999
0.020000,0.0054,1.0005,0.0169,1.001
0.021000,0.0046,0.9995,0.0173,1.000
0.021000,0.0046,0.9990,0.0178,0.999
0.021000,0.0046,1.0002,0.0183,1.000
0.034000,0.0051,0.9992,0.0205,0.999
0.035000,0.0056,1.0014,0.0213,1.002
0.035000,0.0064,1.0007,0.0230,1.001
0.036000,0.0073,1.0007,0.0254,1.001
0.036000,0.0059,0.9995,0.0239,1.000
0.036000,0.0061,1.0012,0.0235,1.001
0.037000,0.0049,1.0010,0.0235,1.001
0.037000,0.0044,1.0005,0.0208,1.001
0.039000,0.0049,1.0022,0.0210,1.002
0.041000,0.0056,1.0014,0.0191,1.002
0.043000,0.0056,1.0007,0.0188,1.001
0.067000,0.0061,0.9995,0.0161,1.000
0.068000,0.0054,0.9997,0.0159,1.000
0.068000,0.0049,0.9975,0.0169,0.998
0.068000,0.0046,0.9983,0.0176,0.998
0.069000,0.0046,0.9997,0.0161,1.000
0.069000,0.0054,0.9997,0.0186,1.000
0.069000,0.0046,0.9980,0.0191,0.998
0.070000,0.0061,0.9992,0.0222,1.000
0.070000,0.0049,1.0022,0.0205,1.002
0.070000,0.0059,1.0027,0.0210,1.003
0.071000,0.0051,1.0014,0.0198,1.002
0.071000,0.0061,1.0024,0.0203,1.003
0.071000,0.0071,1.0049,0.0213,1.005
0.072000,0.0076,1.0027,0.0193,1.003
0.077000,0.0073,1.0005,0.0178,1.001
0.078000,0.0061,1.0000,0.0161,1.000
0.078000,0.0061,0.9988,0.0156,0.999
0.079000,0.0054,0.9997,0.0164,1.000
0.094000,0.0054,1.0005,0.0149,1.001
0.095000,0.0054,0.9990,0.0159,0.999
0.095000,0.0051,0.9983,0.0181,0.998
0.095000,0.0081,0.9992,0.0193,0.999
0.096000,0.0078,0.9997,0.0183,1.000
0.096000,0.0066,1.0002,0.0195,1.000
