massa_A;;;;massa_B;;;;massa_C;;;;massa_D;;;;massa_E;;
t;x;y;;t;x;y;;t;x;y;;t;x;y;;t;x;y
1,70E-02;-2,03E-03;9,17E-05;;0,00E+00;4,81E-01;-1,12E-01;;0,00E+00;3,13E-04;-3,13E-04;;0,00E+00;8,26E-04;-1,65E-03;;0,00E+00;2,22E-16;-1,17E-03
3,30E-02;-1,12E-02;-3,07E-04;;1,70E-02;-1,30E+01;5,95E-01;;1,70E-02;-7,83E-03;9,39E-04;;1,70E-02;-8,54E-03;2,75E-04;;1,60E-02;-6,65E-03;-1,17E-03
5,00E-02;-2,36E-02;-7,06E-04;;3,30E-02;-2,75E+01;-1,53E+00;;3,30E-02;-2,00E-02;9,39E-04;;3,30E-02;-1,87E-02;5,51E-04;;3,30E-02;-1,76E-02;1,56E-03
6,70E-02;-3,43E-02;-7,49E-03;;5,00E-02;-4,23E+01;-5,77E+00;;5,00E-02;-2,94E-02;-3,44E-03;;5,00E-02;-2,89E-02;-2,75E-03;;5,00E-02;-2,70E-02;-1,56E-03
8,30E-02;-4,79E-02;-1,47E-02;;6,70E-02;-6,17E+01;-1,53E+01;;6,70E-02;-3,98E-02;-1,16E-02;;6,70E-02;-3,83E-02;-9,37E-03;;6,60E-02;-3,64E-02;-7,82E-03
1,00E-01;-5,87E-02;-2,54E-02;;8,30E-02;-7,48E+01;-2,63E+01;;8,30E-02;-5,45E-02;-2,10E-02;;8,30E-02;-4,93E-02;-1,79E-02;;8,30E-02;-4,85E-02;-1,53E-02
1,17E-01;-6,86E-02;-4,02E-02;;1,00E-01;-8,83E+01;-4,22E+01;;1,00E-01;-6,45E-02;-3,32E-02;;1,00E-01;-6,14E-02;-3,33E-02;;1,00E-01;-6,10E-02;-2,74E-02
1,33E-01;-8,02E-02;-5,97E-02;;1,17E-01;-1,06E+02;-6,39E+01;;1,17E-01;-7,64E-02;-4,85E-02;;1,17E-01;-7,33E-02;-4,90E-02;;1,16E-01;-7,08E-02;-3,99E-02
1,50E-01;-9,14E-02;-7,81E-02;;1,33E-01;-1,20E+02;-9,10E+01;;1,33E-01;-8,61E-02;-6,73E-02;;1,33E-01;-8,26E-02;-6,72E-02;;1,33E-01;-8,25E-02;-5,91E-02
1,67E-01;-1,03E-01;-1,03E-01;;1,50E-01;-1,36E+02;-1,23E+02;;1,50E-01;-9,77E-02;-9,17E-02;;1,50E-01;-9,37E-02;-8,68E-02;;1,50E-01;-9,15E-02;-7,90E-02
1,83E-01;-1,14E-01;-1,28E-01;;1,67E-01;-1,53E+02;-1,52E+02;;1,67E-01;-1,10E-01;-1,16E-01;;1,67E-01;-1,04E-01;-1,13E-01;;1,66E-01;-1,04E-01;-1,05E-01
2,00E-01;-1,24E-01;-1,60E-01;;1,83E-01;-1,69E+02;-1,94E+02;;1,83E-01;-1,21E-01;-1,44E-01;;1,83E-01;-1,13E-01;-1,39E-01;;1,83E-01;-1,16E-01;-1,33E-01
2,17E-01;-1,34E-01;-1,91E-01;;2,00E-01;-1,83E+02;-2,37E+02;;2,00E-01;-1,32E-01;-1,75E-01;;2,00E-01;-1,24E-01;-1,70E-01;;2,00E-01;-1,27E-01;-1,60E-01
2,33E-01;-1,46E-01;-2,27E-01;;2,17E-01;-2,00E+02;-2,82E+02;;2,17E-01;-1,43E-01;-2,08E-01;;2,17E-01;-1,35E-01;-2,03E-01;;2,16E-01;-1,37E-01;-1,94E-01
2,50E-01;-1,55E-01;-2,65E-01;;2,33E-01;-2,20E+02;-3,36E+02;;2,33E-01;-1,56E-01;-2,47E-01;;2,33E-01;-1,47E-01;-2,43E-01;;2,33E-01;-1,47E-01;-2,28E-01
2,67E-01;-1,67E-01;-3,00E-01;;2,50E-01;-2,32E+02;-3,89E+02;;2,50E-01;-1,66E-01;-2,87E-01;;2,50E-01;-1,57E-01;-2,81E-01;;2,50E-01;-1,58E-01;-2,64E-01
2,83E-01;-1,78E-01;-3,45E-01;;2,67E-01;-2,48E+02;-4,56E+02;;2,67E-01;-1,77E-01;-3,30E-01;;2,67E-01;-1,66E-01;-3,21E-01;;2,66E-01;-1,68E-01;-3,06E-01
3,00E-01;-1,91E-01;-3,93E-01;;2,83E-01;-2,64E+02;-5,17E+02;;2,83E-01;-1,90E-01;-3,77E-01;;2,83E-01;-1,78E-01;-3,65E-01;;2,83E-01;-1,82E-01;-3,50E-01
3,17E-01;-1,99E-01;-4,41E-01;;3,00E-01;-2,86E+02;-5,96E+02;;3,00E-01;-1,99E-01;-4,26E-01;;3,00E-01;-1,88E-01;-4,12E-01;;3,00E-01;-1,92E-01;-3,99E-01
3,33E-01;-2,10E-01;-4,92E-01;;3,17E-01;-2,98E+02;-6,61E+02;;3,17E-01;-2,10E-01;-4,78E-01;;3,17E-01;-1,99E-01;-4,62E-01;;3,16E-01;-2,02E-01;-4,45E-01
3,50E-01;-2,20E-01;-5,44E-01;;3,33E-01;-3,11E+02;-7,38E+02;;3,33E-01;-2,21E-01;-5,32E-01;;3,33E-01;-2,09E-01;-5,16E-01;;3,33E-01;-2,13E-01;-5,00E-01
3,67E-01;-2,29E-01;-6,02E-01;;3,50E-01;-3,28E+02;-8,25E+02;;3,50E-01;-2,31E-01;-5,85E-01;;3,50E-01;-2,18E-01;-5,69E-01;;3,50E-01;-2,24E-01;-5,55E-01
3,83E-01;-2,40E-01;-6,58E-01;;3,67E-01;-3,45E+02;-9,10E+02;;3,67E-01;-2,43E-01;-6,48E-01;;3,67E-01;-2,28E-01;-6,32E-01;;3,66E-01;-2,35E-01;-6,15E-01
4,00E-01;-2,51E-01;-7,21E-01;;3,83E-01;-3,62E+02;-9,95E+02;;3,83E-01;-2,54E-01;-7,08E-01;;3,83E-01;-2,37E-01;-6,92E-01;;3,83E-01;-2,45E-01;-6,73E-01
4,17E-01;-2,63E-01;-7,88E-01;;4,00E-01;-3,75E+02;-1,08E+03;;4,00E-01;-2,65E-01;-7,67E-01;;4,00E-01;-2,48E-01;-7,51E-01;;4,00E-01;-2,56E-01;-7,38E-01
4,33E-01;-2,71E-01;-8,55E-01;;4,17E-01;-3,90E+02;-1,17E+03;;4,17E-01;-2,74E-01;-8,34E-01;;4,17E-01;-2,58E-01;-8,14E-01;;4,16E-01;-2,66E-01;-8,01E-01
